,Filename,File Extension,Time Created,Time Modified
81,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(10.86)_In_PlaneAnis_K(10000)_Ratio(1).out,out,2020-03-17 15:02:10,2020-03-17 15:02:10
82,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(100)_In_PlaneAnis_K(0)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:38
83,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(100)_In_PlaneAnis_K(0)_Ratio(1).out,out,2020-03-17 15:06:15,2020-03-17 15:06:15
84,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(100.0)_In_PlaneAnis_K(40000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:38
85,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(100.0)_In_PlaneAnis_K(40000)_Ratio(1).out,out,2020-03-17 15:18:46,2020-03-17 15:18:47
86,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(100.0)_In_PlaneAnis_K(60000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:39
87,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(100.0)_In_PlaneAnis_K(60000)_Ratio(1).out,out,2020-03-17 15:22:02,2020-03-17 15:22:02
88,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(100.0)_In_PlaneAnis_K(90000)_Ratio(1).mx3,mx3,2020-03-17 12:45:06,2020-03-17 12:00:39
89,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(100.0)_In_PlaneAnis_K(90000)_Ratio(1).out,out,2020-03-17 15:24:37,2020-03-17 15:24:38
90,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(100.76)_In_PlaneAnis_K(70000)_Ratio(1).mx3,mx3,2020-03-17 12:45:06,2020-03-17 12:00:39
91,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(100.76)_In_PlaneAnis_K(70000)_Ratio(1).out,out,2020-03-17 15:26:36,2020-03-17 15:26:36
92,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1000)_In_PlaneAnis_K(0)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:38
93,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1000)_In_PlaneAnis_K(0)_Ratio(1).out,out,2020-03-17 15:28:39,2020-03-17 15:28:39
94,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1000.0)_In_PlaneAnis_K(80000)_Ratio(1).mx3,mx3,2020-03-17 12:45:05,2020-03-17 12:00:39
95,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1000.0)_In_PlaneAnis_K(80000)_Ratio(1).out,out,2020-03-17 15:30:26,2020-03-17 15:30:26
96,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1002.02)_In_PlaneAnis_K(40000)_Ratio(1).mx3,mx3,2020-03-17 12:45:06,2020-03-17 12:00:38
97,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1002.02)_In_PlaneAnis_K(40000)_Ratio(1).out,out,2020-03-17 15:32:13,2020-03-17 15:32:13
98,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1002.53)_In_PlaneAnis_K(10000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:38
99,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1002.53)_In_PlaneAnis_K(10000)_Ratio(1).out,out,2020-03-17 15:33:59,2020-03-17 15:33:59
100,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1004.55)_In_PlaneAnis_K(70000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:39
101,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1004.55)_In_PlaneAnis_K(70000)_Ratio(1).out,out,2020-03-17 15:35:45,2020-03-17 15:35:45
102,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1008.33)_In_PlaneAnis_K(30000)_Ratio(1).mx3,mx3,2020-03-17 12:45:07,2020-03-17 12:00:38
103,In_Plane_Field\In_Plane_Anis\EasyAxis\ThinFilmFMR_BInPlane(1008.33)_In_PlaneAnis_K(30000)_Ratio(1).out,out,2020-03-17 15:37:32,2020-03-17 15:37:32
